City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
423,Hirara,JP,82.54,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
427,Pecos,US,80.31,clear sky,31.4229,-103.4932,Knights Inn Pecos
429,Black River,JM,86.99,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
430,Dunnville,CA,85.23,broken clouds,42.9001,-79.6163,Fishmasters Ultimate Charters
433,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
435,Evanston,US,85.71,clear sky,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
436,Imbituba,BR,76.89,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
439,Kasongo,CD,81.03,scattered clouds,-4.45,26.6667,Guest Hôtel
443,Tiarei,PF,77.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
445,Jalu,LY,89.96,clear sky,29.0331,21.5482,صاحبة الفخامة
446,Lapua,FI,75.0,broken clouds,62.9693,23.0088,Hotelli Lapuahovi
447,Vero Beach,US,88.05,broken clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
452,Saint John,CA,77.38,scattered clouds,45.2727,-66.0677,Delta Hotels by Marriott Saint John
454,Russell,US,85.71,clear sky,32.3502,-85.1999,Macs
456,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
458,Barabai,ID,77.09,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
464,Kalianget,ID,81.59,broken clouds,-7.05,113.9333,Pesanggrahan Garam
468,Harper,LR,82.04,light rain,4.375,-7.7169,Screensaver
472,Wana,PK,79.34,few clouds,32.2989,69.5725,Rest House at Wana Camp
475,Bubaque,GW,79.48,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
477,Panacan,PH,80.71,overcast clouds,9.2463,118.4082,Mom's Place Resort
480,Lagos,NG,84.52,moderate rain,6.5833,3.75,
483,Paranavai,BR,81.81,clear sky,-23.0731,-52.4653,Hotel Pilonetto
485,Tual,ID,81.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
486,Mut,TR,76.35,broken clouds,36.6439,33.4389,Konak Otel
487,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
488,Torrington,US,87.98,scattered clouds,41.8007,-73.1212,The Yankee Pedlar Inn
